"filename", "language", "XML", "comment", "blank", "total"
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\anim\item_animation_from_bottom.xml", "XML", 14, 0, 5, 19
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\anim\layout_animation_from_bottom.xml", "XML", 7, 0, 0, 7
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 34, 0, 1, 35
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\add_new.xml", "XML", 10, 0, 1, 11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\back.xml", "XML", 10, 0, 1, 11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\background_left.xml", "XML", 8, 0, 3, 11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\background_right.xml", "XML", 8, 0, 3, 11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_bottom_gray_line.xml", "XML", 14, 0, 1, 15
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_my_msg_background.xml", "XML", 22, 0, 0, 22
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_other_msg_background.xml", "XML", 22, 0, 0, 22
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\d_round_red_border.xml", "XML", 7, 0, 0, 7
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 170, 0, 1, 171
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 34, 0, 1, 35
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\rounded.xml", "XML", 9, 0, 4, 13
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_add.xml", "XML", 88, 0, 12, 100
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_chat.xml", "XML", 172, 0, 29, 201
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_chat_main.xml", "XML", 48, 0, 17, 65
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_home.xml", "XML", 106, 0, 25, 131
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_login.xml", "XML", 60, 0, 10, 70
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_main.xml", "XML", 72, 0, 15, 87
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_message.xml", "XML", 63, 0, 12, 75
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_register.xml", "XML", 58, 0, 13, 71
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_start.xml", "XML", 53, 0, 21, 74
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_user_management.xml", "XML", 30, 0, 8, 38
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\bar_layout.xml", "XML", 7, 0, 1, 8
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\chat_item_left.xml", "XML", 28, 0, 5, 33
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\chat_item_right.xml", "XML", 36, 0, 5, 41
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\contact_item.xml", "XML", 68, 0, 15, 83
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\fragment_chats.xml", "XML", 11, 0, 1, 12
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\fragment_users.xml", "XML", 18, 0, 3, 21
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_chat_my.xml", "XML", 47, 0, 4, 51
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_chat_other.xml", "XML", 57, 0, 8, 65
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_dialog_popular_question.xml", "XML", 36, 0, 6, 42
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_dialog_textview.xml", "XML", 11, 0, 1, 12
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_question_hint_layout.xml", "XML", 25, 0, 4, 29
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\update_popup.xml", "XML", 76, 0, 12, 88
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\user_item.xml", "XML", 59, 0, 8, 67
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\menu\menu.xml", "XML", 8, 0, 3, 11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 5, 0, 0, 5
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 5, 0, 0, 5
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\colors.xml", "XML", 15, 0, 2, 17
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\dimens.xml", "XML", 3, 0, 0, 3
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\strings.xml", "XML", 4, 1, 1, 6
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\styles.xml", "XML", 14, 0, 7, 21
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\themes.xml", "XML", 16, 2, 7, 25
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\xml\network_security_config.xml", "XML", 8, 0, 0, 8
"Total", "-", 1676, 3, 276, 1955
