Date : 2022-02-08 07:10:16
Directory : c:\xampp\htdocs\public_html\Portal
Total : 67 files,  47300 codes, 5113 comments, 8320 blanks, all 60733 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         15 |     31,678 |      4,571 |      6,831 |     43,080 |
| CSS        |          8 |      8,332 |        412 |      1,094 |      9,838 |
| XML        |          3 |      2,738 |          0 |          3 |      2,741 |
| SCSS       |         16 |      2,013 |         54 |         77 |      2,144 |
| Less       |         16 |      1,993 |         50 |         75 |      2,118 |
| PHP        |          8 |        538 |         26 |        238 |        802 |
| Ruby       |          1 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         67 |     47,300 |      5,113 |      8,320 |     60,733 |
| css                                                                                 |          3 |      3,820 |        238 |        587 |      4,645 |
| fontawesome                                                                         |         30 |      8,514 |         98 |         98 |      8,710 |
| fontawesome\css                                                                     |          1 |      2,327 |         10 |          1 |      2,338 |
| fontawesome\fonts                                                                   |          1 |      2,671 |          0 |          1 |      2,672 |
| fontawesome\less                                                                    |         14 |      1,758 |         44 |         48 |      1,850 |
| fontawesome\scss                                                                    |         14 |      1,758 |         44 |         48 |      1,850 |
| js                                                                                  |         11 |     29,616 |      4,429 |      5,973 |     40,018 |
| rs-plugin                                                                           |          5 |      2,011 |        237 |        491 |      2,739 |
| rs-plugin\css                                                                       |          2 |      1,916 |        158 |        460 |      2,534 |
| rs-plugin\font                                                                      |          1 |         54 |          0 |          0 |         54 |
| rs-plugin\js                                                                        |          2 |         41 |         79 |         31 |        151 |
| slick                                                                               |         10 |      2,801 |         85 |        933 |      3,819 |
| slick\fonts                                                                         |          1 |         13 |          0 |          2 |         15 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\public_html\Portal\ajex-events.php                                  | PHP        |         45 |          0 |         18 |         63 |
| c:\xampp\htdocs\public_html\Portal\chat_bot.php                                     | PHP        |        210 |         18 |         81 |        309 |
| c:\xampp\htdocs\public_html\Portal\config.php                                       | PHP        |         53 |          6 |         34 |         93 |
| c:\xampp\htdocs\public_html\Portal\css\jquery.dataTables.min.css                    | CSS        |        349 |        123 |         66 |        538 |
| c:\xampp\htdocs\public_html\Portal\css\jquery.timepicker.css                        | CSS        |         61 |          0 |         12 |         73 |
| c:\xampp\htdocs\public_html\Portal\css\style.css                                    | CSS        |      3,410 |        115 |        509 |      4,034 |
| c:\xampp\htdocs\public_html\Portal\dashboard.php                                    | PHP        |         37 |          1 |         12 |         50 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\css\font-awesome.css                 | CSS        |      2,327 |         10 |          1 |      2,338 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\fonts\fontawesome-webfont.svg        | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\animated.less                   | Less       |         28 |          2 |          5 |         35 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\bordered-pulled.less            | Less       |         17 |          3 |          6 |         26 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\core.less                       | Less       |          8 |          2 |          3 |         13 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\fixed-width.less                | Less       |          4 |          2 |          1 |          7 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\font-awesome.less               | Less       |         13 |          4 |          2 |         19 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\icons.less                      | Less       |        786 |          2 |          2 |        790 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\larger.less                     | Less       |          9 |          3 |          2 |         14 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\list.less                       | Less       |         16 |          2 |          2 |         20 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\mixins.less                     | Less       |         41 |         10 |         10 |         61 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\path.less                       | Less       |         11 |          3 |          2 |         16 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\rotated-flipped.less            | Less       |         12 |          4 |          5 |         21 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\screen-reader.less              | Less       |          2 |          2 |          2 |          6 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\stacked.less                    | Less       |         17 |          2 |          2 |         21 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\less\variables.less                  | Less       |        794 |          3 |          4 |        801 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_animated.scss                  | SCSS       |         28 |          2 |          5 |         35 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_bordered-pulled.scss           | SCSS       |         17 |          3 |          6 |         26 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_core.scss                      | SCSS       |          8 |          2 |          3 |         13 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_fixed-width.scss               | SCSS       |          4 |          2 |          1 |          7 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_icons.scss                     | SCSS       |        786 |          2 |          2 |        790 |
| c:\xampp\htdocs\public_html\Portal\fontawesome\scss\_larger.scss                    | SCSS       |          9 |          3 |          2 |         14 |
