"filename", "language", "PHP", "JavaScript", "CSS", "SCSS", "Less", "XML", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\public_html\API\config.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 2, 10, 22
"c:\xampp\htdocs\public_html\API\index.php", "PHP", 192, 0, 0, 0, 0, 0, 0, 18, 54, 264
"c:\xampp\htdocs\public_html\Portal\ajex-events.php", "PHP", -45, 0, 0, 0, 0, 0, 0, 0, -18, -63
"c:\xampp\htdocs\public_html\Portal\chat_bot.php", "PHP", -210, 0, 0, 0, 0, 0, 0, -18, -81, -309
"c:\xampp\htdocs\public_html\Portal\config.php", "PHP", -53, 0, 0, 0, 0, 0, 0, -6, -34, -93
"c:\xampp\htdocs\public_html\Portal\css\jquery.dataTables.min.css", "CSS", 0, 0, -349, 0, 0, 0, 0, -123, -66, -538
"c:\xampp\htdocs\public_html\Portal\css\jquery.timepicker.css", "CSS", 0, 0, -61, 0, 0, 0, 0, 0, -12, -73
"c:\xampp\htdocs\public_html\Portal\css\style.css", "CSS", 0, 0, -3410, 0, 0, 0, 0, -115, -509, -4034
"c:\xampp\htdocs\public_html\Portal\dashboard.php", "PHP", -37, 0, 0, 0, 0, 0, 0, -1, -12, -50
"c:\xampp\htdocs\public_html\Portal\fontawesome\css\font-awesome.css", "CSS", 0, 0, -2327, 0, 0, 0, 0, -10, -1, -2338
"c:\xampp\htdocs\public_html\Portal\fontawesome\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 0, -2671, 0, 0, -1, -2672
"c:\xampp\htdocs\public_html\Portal\fontawesome\less\animated.less", "Less", 0, 0, 0, 0, -28, 0, 0, -2, -5, -35
"c:\xampp\htdocs\public_html\Portal\fontawesome\less\bordered-pulled.less", "Less", 0, 0, 0, 0, -17, 0, 0, -3, -6, -26
"c:\xampp\htdocs\public_html\Portal\fontawesome\less\core.less", "Less", 0, 0, 0, 0, -8, 0, 0, -2, -3, -13
